<MP-CMI-NE>dis int des
PHY: Physical
*down: administratively down
^down: standby
(l): loopback
(s): spoofing
(E): E-Trunk down
(b): BFD down
(B): Bit-error-detection down
(e): ETHOAM down
(d): Dampening Suppressed
(p): port alarm down
(ld): loop-detect trigger down
Interface                     PHY     Protocol Description                     
VE4/0/0.119                   up      up       INTERNAL-HUBSPOKE-SPOKE-1084-MNG-Fttx-CMI2
VE4/0/0.122                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500158
VE4/0/0.123                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500161
VE4/0/0.124                   up      up       INTERNAL-HUBSPOKE-SPOKE-1005-MNG-IP-DSLAM-4001-38-4
VE4/0/0.126                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500480
VE4/0/0.128                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500184
VE4/0/0.129                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB500184
VE4/0/0.130                   up      up       INTERNAL-HUBSPOKE-SPOKE-1014-IAD0500009
VE4/0/0.133                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500102
VE4/0/0.134                   down    down     EXTERNAL-FULLMESH-SPOKE-600042-IPV0500071
VE4/0/0.135                   up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPV0500067
VE4/0/0.136                   up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPV0500360
VE4/0/0.137                   up      up       INTERNAL-HUBSPOKE-SPOKE-1014-IAD0500010
VE4/0/0.138                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500484
VE4/0/0.139                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-BINL0500486
VE4/0/0.140                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500557
VE4/0/0.141                   up      up       INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-LPN-2
VE4/0/0.142                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILLB0500127
VE4/0/0.143                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500200
VE4/0/0.149                   down    down     EXTERNAL-HUBSPOKE-SPOKE-600081-INLS0500441
VE4/0/0.150                   up      up       EXTERNAL-FULLMESH-SPOKE-600314-IPV1420104
VE4/0/0.151                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500202
VE4/0/0.154                   up      up       EXTERNAL-FULLMESH-SPOKE-600314-IPV1420150
VE4/0/0.155                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1150479
VE4/0/0.156                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1150479
VE4/0/0.157                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1150525
VE4/0/0.158                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1150525
VE4/0/0.159                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1150514
VE4/0/0.160                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1150514
VE4/0/0.161                   up      up       EXTERNAL-FULLMESH-SPOKE-600314-IPV1420216
VE4/0/0.162                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500062
VE4/0/0.163                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1150588
VE4/0/0.164                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1150588
VE4/0/0.165                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1150589
VE4/0/0.166                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1150589
VE4/0/0.172                   up      up       EXTERNAL-FULLMESH-SPOKE-600362-IPV0500421
VE4/0/0.174                   up      up       EXTERNAL-FULLMESH-SPOKE-600375-IPV0500423
VE4/0/0.175                   up      up       EXTERNAL-FULLMESH-SPOKE-600314-IPV1420309
VE4/0/0.176                   up      up       INTERNAL-HUBSPOKE-SPOKE-1014-IAD0500209
VE4/0/0.177                   up      up       EXTERNAL-HUBSPOKE-SPOKE-1097-SIT0500209
VE4/0/0.178                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500209
VE4/0/0.179                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500209
VE4/0/0.180                   up      up       EXTERNAL-FULLMESH-SPOKE-600314-IPV1420346
VE4/0/0.181                   up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500038
VE4/0/0.182                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500215
VE4/0/0.183                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500158
VE4/0/0.184                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500216
VE4/0/0.187                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLC0500062
VE4/0/0.189                   up      up       EXTERNAL-FULLMESH-SPOKE-600384-IPV1901016
VE4/0/0.191                   up      up       EXTERNAL-FULLMESH-SPOKE-600384-IPV1901031
VE4/0/0.192                   up      up       INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-CMI2-0003
VE4/0/0.195                   up      up       EXTERNAL-FULLMESH-SPOKE-600314-IPV1420443
VE4/0/0.198                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500033
VE4/0/0.199                   up      up       EXTERNAL-HUBSPOKE-SPOKE-600421-IPV19908613
VE4/0/0.200                   up      up       EXTERNAL-HUBSPOKE-SPOKE-600421-IPV19908084
VE4/0/0.201                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500227
VE4/0/0.202                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500228
VE4/0/0.203                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500228
VE4/0/0.204                   up      up       EXTERNAL-HUBSPOKE-SPOKE-600421-IPV19905066
VE4/0/0.205                   up      up       EXTERNAL-FULLMESH-SPOKE-600436-IPV2020006
VE4/0/0.206                   up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPVB0500069
VE4/0/0.207                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500231
VE4/0/0.208                   up      up       EXTERNAL-FULLMESH-SPOKE-600415-IPV2670009
VE4/0/0.209                   up      up       EXTERNAL-FULLMESH-SPOKE-600415-IPV2670010
VE4/0/0.210                   up      up       EXTERNAL-FULLMESH-SPOKE-600415-IPV2670011
VE4/0/0.211                   up      up       EXTERNAL-FULLMESH-SPOKE-600415-IPV2670012
VE4/0/0.213                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500232
VE4/0/0.214                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500448
VE4/0/0.215                   up      up       EXTERNAL-FULLMESH-SPOKE-600543-IPV0500448
VE4/0/0.216                   down    down     EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500449
VE4/0/0.217                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500449
VE4/0/0.218                   up      up       INTERNAL-HUBSPOKE-SPOKE-1005-MNG-ME-FTTx-0054
VE4/0/0.219                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500235
VE4/0/0.220                   up      up       EXTERNAL-FULLMESH-SPOKE-600556-IPV2140027
VE4/0/0.221                   up      up       EXTERNAL-FULLMESH-SPOKE-600556-IPV2140110
VE4/0/0.222                   up      up       EXTERNAL-FULLMESH-SPOKE-600556-IPV2140120
VE4/0/0.224                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500242
VE4/0/0.225                   up      up       EXTERNAL-FULLMESH-SPOKE-600335-IPV1630077
VE4/0/0.226                   up      up       EXTERNAL-FULLMESH-SPOKE-600566-IPVB2230005
VE4/0/0.227                   up      up       EXTERNAL-FULLMESH-SPOKE-600568-IAD2250004
VE4/0/0.229                   up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPVB0500073
VE4/0/0.232                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151365
VE4/0/0.233                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151365
VE4/0/0.234                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151372
VE4/0/0.235                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151372
VE4/0/0.239                   up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPV0500534
VE4/0/0.241                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500216
VE4/0/0.242                   up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500014
VE4/0/0.243                   up      up       EXTERNAL-FULLMESH-SPOKE-600584-IPV0500462
VE4/0/0.244                   up      up       EXTERNAL-FULLMESH-SPOKE-600584-IPV0500464
VE4/0/0.245                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1150944
VE4/0/0.246                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1150944
VE4/0/0.247                   down    down     EXTERNAL-FULLMESH-SPOKE-600556-IPV2140131
VE4/0/0.248                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLI500046
VE4/0/0.249                   up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500017
VE4/0/0.250                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500123
VE4/0/0.251                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500496
VE4/0/0.253                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500251
VE4/0/0.254                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500252
VE4/0/0.255                   up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500253
VE4/0/0.256                   up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVBI500253
VE4/0/0.257                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLI500253
VE4/0/0.258                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLBI500253
VE4/0/0.259                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500256
VE4/0/0.260                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500256
VE4/0/0.261                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500255
VE4/0/0.262                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLI500254
VE4/0/0.263                   up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPVC0500073
VE4/0/0.264                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLC0500009
VE4/0/0.265                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILLB0500009
VE4/0/0.267                   up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500254
VE4/0/0.268                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500257
VE4/0/0.269                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500257
VE4/0/0.270                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500115
VE4/0/0.271                   up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500013
VE4/0/0.272                   up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500012
VE4/0/0.273                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500467
VE4/0/0.274                   up      up       EXTERNAL-HUBSPOKE-SPOKE-600575-IPV0500467
VE4/0/0.275                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500251
VE4/0/0.276                   up      up       EXTERNAL-FULLMESH-SPOKE-600237-IPV2510003
VE4/0/0.278                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500485
VE4/0/0.279                   up      up       EXTERNAL-HUBSPOKE-SPOKE-600575-IPV0500468
VE4/0/0.280                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500495
VE4/0/0.281                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500495
VE4/0/0.282                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLC0500495
VE4/0/0.283                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLI500277
VE4/0/0.284                   up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPV0500077
VE4/0/0.285                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500529
VE4/0/0.286                   up      up       EXTERNAL-FULLMESH-SPOKE-600649-IPV2750002
VE4/0/0.287                   up      up       EXTERNAL-FULLMESH-SPOKE-600649-IPVB2750002
VE4/0/0.288                   up      up       EXTERNAL-FULLMESH-SPOKE-600649-IPV2750004
VE4/0/0.289                   up      up       EXTERNAL-FULLMESH-SPOKE-600649-IPVB2750004
VE4/0/0.290                   up      up       EXTERNAL-FULLMESH-SPOKE-600649-IPV2750005
VE4/0/0.292                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL2750002
VE4/0/0.293                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB2750002
VE4/0/0.294                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL2750004
VE4/0/0.295                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB2750004
VE4/0/0.296                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL2750005
VE4/0/0.297                   up      up       EXTERNAL-FULLMESH-SPOKE-600175-IPV2350000
VE4/0/0.298                   up      up       EXTERNAL-FULLMESH-SPOKE-600175-IPVB2350000
VE4/0/0.299                   up      up       EXTERNAL-FULLMESH-SPOKE-600175-IPV2350001
VE4/0/0.300                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL2350000
VE4/0/0.301                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB2350000
VE4/0/0.302                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL2350001
VE4/0/0.361                   down    down                                     
VE4/0/0.3000                  up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500250
VE4/0/0.3001                  up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500092
VE4/0/0.3002                  up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500251
VE4/0/0.3003                  up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500252
VE4/0/0.3004                  up      up       EXTERNAL-FULLMESH-SPOKE-600175-IPV2350097
VE4/0/0.3005                  up      up       EXTERNAL-FULLMESH-SPOKE-600175-IPV2350102
VE4/0/0.3006                  up      up       EXTERNAL-FULLMESH-SPOKE-600175-IPV2350004
VE4/0/0.3008                  up      up       EXTERNAL-FULLMESH-SPOKE-600175-IPV2350103
VE4/0/0.3009                  up      up       EXTERNAL-FULLMESH-SPOKE-600175-IPV2350011
VE4/0/0.3010                  up      up       EXTERNAL-FULLMESH-SPOKE-600175-IPV2350088
VE4/0/0.3011                  up      up       EXTERNAL-FULLMESH-SPOKE-600175-IPV2350089
VE4/0/0.3012                  up      up       EXTERNAL-FULLMESH-SPOKE-600367-IPV1800060
VE4/0/0.3013                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500231
VE4/0/0.3014                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500046
VE4/0/0.3015                  up      up       EXTERNAL-FULLMESH-SPOKE-600362-IPVB0500421
VE4/0/0.3016                  up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500258
VE4/0/0.3017                  up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500027
VE4/0/0.3018                  up      up       EXTERNAL-FULLMESH-SPOKE-600612-IAD2340017
VE4/0/0.3019                  up      up       EXTERNAL-FULLMESH-SPOKE-600612-IAD2340005
VE4/0/0.3020                  up      up       EXTERNAL-FULLMESH-SPOKE-600367-IPV1800081
VE4/0/0.3021                  up      up       EXTERNAL-FULLMESH-SPOKE-600175-IPV2350056
VE4/0/0.3022                  up      up       EXTERNAL-FULLMESH-SPOKE-600175-IPV2350024
VE4/0/0.3023                  up      up       EXTERNAL-FULLMESH-SPOKE-600175-IPV2350027
VE4/0/0.3024                  up      up       EXTERNAL-FULLMESH-SPOKE-600175-IPV2350028
VE4/0/0.3025                  up      up       EXTERNAL-FULLMESH-SPOKE-600237-IPV2510004
VE4/0/0.3026                  up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500068
VE4/0/0.3027                  up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500197
VE4/0/0.3028                  up      up       EXTERNAL-FULLMESH-SPOKE-600612-IAD2340016
VE4/0/0.3029                  up      up       EXTERNAL-FULLMESH-SPOKE-600175-IPV2350034
VE4/0/0.3030                  up      up       EXTERNAL-FULLMESH-SPOKE-600175-IPV2350055
VE4/0/0.3031                  up      up       EXTERNAL-FULLMESH-SPOKE-600175-IPV2350058
VE4/0/0.3032                  up      up       EXTERNAL-FULLMESH-SPOKE-600395-IPV2610009
VE4/0/0.3033                  up      up       EXTERNAL-FULLMESH-SPOKE-600395-IPVB2610009
VE4/0/0.3036                  up      up       EXTERNAL-FULLMESH-SPOKE-600237-IPV2510005
VE4/0/0.3037                  up      up       EXTERNAL-FULLMESH-SPOKE-600175-IPV2350041
VE4/0/0.3038                  up      up       EXTERNAL-FULLMESH-SPOKE-600175-IPV2350037
VE4/0/0.3039                  up      up       EXTERNAL-FULLMESH-SPOKE-600175-IPV2350023
VE4/0/0.3040                  up      up       EXTERNAL-FULLMESH-SPOKE-600175-IPV2350036
