<MP-CMI-NE>dis int des
PHY: Physical
*down: administratively down
^down: standby
(l): loopback
(s): spoofing
(E): E-Trunk down
(b): BFD down
(B): Bit-error-detection down
(e): ETHOAM down
(d): Dampening Suppressed
(p): port alarm down
(ld): loop-detect trigger down
Interface                     PHY     Protocol Description                     
VE4/0/0.66                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151121
VE4/0/0.67                    up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500542
VE4/0/0.68                    up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500034
VE4/0/0.69                    up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPV0500069
VE4/0/0.70                    up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPV0500073
VE4/0/0.71                    up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPV0500082
VE4/0/0.72                    up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPV0500083
VE4/0/0.73                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151122
VE4/0/0.74                    up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPV0500306
VE4/0/0.75                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151122
VE4/0/0.76                    down    down     EXTERNAL-FULLMESH-SPOKE-600042-Test_IPV0500082
VE4/0/0.77                    down    down     EXTERNAL-FULLMESH-SPOKE-600042-Test_IPV0500082_to_branch
VE4/0/0.78                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151126
VE4/0/0.79                    up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPVB0500067
VE4/0/0.80                    up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPVB0500082
VE4/0/0.81                    up      up       EXTERNAL-FULLMESH-SPOKE-600144-IPV0500177
VE4/0/0.82                    up      up       EXTERNAL-FULLMESH-SPOKE-600155-IPV0500193
VE4/0/0.83                    up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPVB0500306
VE4/0/0.84                    up      up       EXTERNAL-FULLMESH-SPOKE-600175-IPV0500208
VE4/0/0.85                    up      up       INTERNAL-HUBSPOKE-SPOKE-1014-IAD0500484
VE4/0/0.86                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151348
VE4/0/0.87                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151348
VE4/0/0.88                    up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500527
VE4/0/0.91                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151126
VE4/0/0.92                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151128
VE4/0/0.93                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151128
VE4/0/0.94                    down    down     EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500069
VE4/0/0.95                    up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500123
VE4/0/0.97                    down    down                                     
VE4/0/0.98                    down    down     EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILLI500034
VE4/0/0.99                    up      up       INTERNAL-FULLMESH-SPOKE-1035-IPVI500081
